State,AreaID,yearmo,LOB,MEMB_CNT,AVG_AGE,PCT_F,RiskScore,TOTAL_ALLOWED_PMPM,IP_Allowed_PMPM,OP_Allowed_PMPM,PROF_Allowed_PMPM,RX_Allowed_PMPM,Other_Allowed_PMPM,MED_ADMT_CNT,FOP_WO_ED_CNT,ED_ADMT_CNT,UC_ADMT_CNT,PCP_VIST_CNT,SPEC_VIST_CNT,ALG_TST_CNT,ALG_IMT_CNT,E_TOTPOP,AREA_SQMI,E_HU,E_HH,E_UNEMP,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ
CA,CA4,201702,ADV,8196,74.51464129,0.563201562,0.664413616,$679.87 ,$147.66 ,$90.71 ,$202.36 ,$239.14 ,$0.00 ,35,1,89,28,1018,1224,7,20,13262234,4850.972611,4615697,4338482,441609,1781058,1352330,1739765,2957709,1601964,9307146,1149887,86507,469799,343744,220875
CA,CA5,201702,ADV,268,75.71641791,0.597014925,1.135776119,"$1,257.44 ",$469.38 ,$118.42 ,$425.42 ,$244.22 ,$0.00 ,2,0,4,1,57,77,1,2,848112,1842.466511,287498,271226,25853,88185,78474,123435,199599,77382,459811,31090,10988,17892,11400,12601
CA,CA6,201702,ADV,92,78.81521739,0.630434783,1.269032609,"$1,222.18 ",$402.74 ,$199.76 ,$417.12 ,$202.56 ,$0.00 ,0,0,4,0,17,29,0,0,443738,2735.137621,156210,144962,13861,52042,46478,64775,99117,45552,244382,21169,6950,15410,8052,19863
CA,CA7,201702,ADV,2177,71.8277446,0.552595315,0.259264125,$179.66 ,$5.73 ,$6.22 ,$24.75 ,$142.96 ,$0.00 ,0,0,3,2,21,25,0,1,883053,8132.256436,295756,267913,39056,139584,77216,92005,257750,84735,576023,15490,21557,24792,18281,31126
CA,CA8,201702,ADV,91,77.73626374,0.593406593,0.942461539,$569.24 ,$0.00 ,$125.02 ,$255.55 ,$188.67 ,$0.00 ,0,0,2,2,25,20,0,0,281455,3300.636162,121095,105317,6175,17123,20715,52758,50492,9045,86881,7329,9630,3482,4557,16435
CA,CA9,201702,ADV,61,76.19672131,0.606557377,1.001573771,"$1,553.52 ",$801.78 ,$296.82 ,$310.71 ,$144.22 ,$0.00 ,1,0,2,0,14,11,0,0,433212,3281.719108,141155,126052,10475,78816,46650,55515,114125,75432,301974,14534,6567,17221,5984,17741
CA,CA1,201703,ADV,48425,73.42300465,0.57348477,0.559854022,$767.83 ,$241.10 ,$112.34 ,$213.21 ,$201.18 ,$0.00 ,549,40,479,554,10665,1818,26,38,3302833,4208.762531,1204884,1118980,106962,286008,279602,439595,726344,216965,1787453,255366,42081,75015,61486,89451
CA,CA10,201703,ADV,60,79.88333333,0.65,1.101466667,"$1,185.83 ",$409.02 ,$101.80 ,$412.55 ,$262.46 ,$0.00 ,2,0,2,0,17,18,0,0,460477,4824.376542,147791,136106,18321,81345,44779,50391,143528,61208,326860,6561,10023,13317,8274,5426
CA,CA11,201703,ADV,13,74.84615385,0.615384615,1.091538462,$855.77 ,$0.00 ,$256.77 ,$353.25 ,$245.75 ,$0.00 ,0,0,0,0,5,3,0,0,150075,1390.308446,45792,42735,4855,24270,10946,14567,40935,13829,101017,2919,1938,3483,2730,14912
CA,CA12,201703,ADV,122,76.90983607,0.581967213,1.1815,$747.03 ,$0.00 ,$77.27 ,$329.73 ,$340.03 ,$0.00 ,0,0,2,1,28,39,0,0,978130,5958.095977,328577,304624,41276,147389,92035,114438,279979,108140,686675,23756,12508,28262,25805,16750
